instructions,cycles,cpu-migrations,branches,branch-misses,context-switches,cache-references,cache-misses,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-stores,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,Thread,seconds,matrix_workload,Class,energy_joules
1042165382482,982876723333,265,70105744619,154540400,34805,6727385076,3683572775,104487010451,268327745777,24579421608,12429376750,390291358,5503237244,3327124769,28657,28657,8,45.7,1061208,SG,
1036791821410,968385387188,409,71619470062,156186686,37305,6547157725,3648057590,104061390791,269563808645,24742008261,12357719842,373491892,5448254403,3311493897,27226,27226,8,46.44,1061208,SG,
1037260559581,975308939719,369,72000785244,156165080,37819,6642875803,3646077733,104738091706,272220509936,24721997448,12354033917,369459340,5484896973,3322987006,15704,15704,8,46.55,1061208,SG,
1035080439830,974597976493,284,70352154621,154915183,35232,6588656736,3655277634,104392702163,269319973039,24656394811,12364808629,371005781,5382834214,3280185804,12421,12421,8,45.98,1061208,SG,
1040507395593,970649531186,404,71642208250,156752599,37294,6616988293,3619053085,103945163343,271982747072,24746489404,12295922783,367185593,5499555390,3242346698,42907,42907,8,46.46,1061208,SG,
1037826326048,928999110396,214,69841827433,153796907,33153,6537373627,3539652576,104270041309,268349431840,24603179565,12401784943,394267685,5310849083,3142074190,32304,32304,8,43.35,1061208,SG,
1046284305592,971230862045,275,70884789966,155054867,35768,6555473138,3638110734,103704172668,266324792005,24595450919,12437745907,392235979,5377054095,3209835548,29008,29008,8,45.73,1061208,SG,
1047901023662,950769919110,312,71239619114,154575532,35667,6543717574,3580293073,104328461358,269236161625,24598723871,12399438320,395689006,5296387556,3151390860,14085,14085,8,45.29,1061208,SG,
1031174562649,960071163095,323,70858059260,155630124,35341,6557078520,3637362820,104653873315,272855903195,24818196178,12318894365,358841565,5464724026,3315897696,38789,38789,8,45.66,1061208,SG,
1047671717923,952564322374,275,70130938572,153910715,34833,6527473401,3628704615,104351941094,266487777124,24509911421,12468885625,413684150,5201396833,3135233270,15257,15257,8,45.24,1061208,SG,
1052624701088,954842753247,331,71224568026,155236616,36576,6563498534,3623353730,103507365499,265452105690,24533315391,12464943725,409657245,5266362444,3122988703,19247,19247,8,45.46,1061208,SG,
1044508653102,959951348644,354,70576189456,154585571,35699,6616396917,3659901755,104542322431,267467323925,24535150896,12430519379,402746433,5295128074,3239716938,39437,39437,8,45.72,1061208,SG,
1045355714465,947383695608,265,70306919493,154440600,34547,6514723721,3594884007,104197211351,268106524546,24569298568,12416924623,394217192,5258631274,3171392831,31770,31770,8,44.73,1061208,SG,
1043954271273,945091842670,281,70274794946,154311799,34762,6527766999,3593071970,104376437907,266952355746,24529967667,12426024407,397486800,5262522875,3178224036,19533,19533,8,44.82,1061208,SG,
1046588015328,971899851639,360,71516368339,155859600,37549,6639781544,3670299225,104217326428,269210419191,24607823822,12395258271,397845999,5399840058,3234001693,39369,39369,8,46.55,1061208,SG,
1048184716611,993237031289,415,72114428137,156616510,38668,6733661307,3736587540,103962377972,269334426271,24622823169,12377094751,389137303,5462366870,3300087498,16444,16444,8,47.69,1061208,SG,
